"Supplementary Dataset S1. Proteins that were identified in total cell extract and included in further differential expression analysis. For each protein the fold change and p-values (unadjusted-adjusted for FDR) are provided, along with the expression trend at the mRNA level. Differentially expressed proteins (as defined by fold change >1.5, p<0.05)  are marked in blue.",,,,,,,,,,,,,,,,,,,,,,
Accession,UniprotID,Protein Name,Prediction of signal peptide (SignalIP),Transcriptomics: Ratio (T24M vs T24),Proteomics:,Avg. T24,SD. T24,Avg. T24M,SD. T24M,Fold Change        (Avg. T24M/ Avg. T24),p-value (unadjusted),p-value                    (FDR- BH adjusted),Area T24_T1 normalized,Area T24_T2 normalized,Area T24_T3 normalized,Area T24_T4 normalized,Area T24_T5 normalized,Area T24M_T6 normalized,Area T24M_T7 normalized,Area T24M_T8 normalized,Area T24M_T9 normalized,Area T24M_T10 normalized
P11233,RALA_HUMAN,Ras-related protein Ral-A ,Not predicted,0.73,,40.60,56.30,63.12,38.14,1.55,0.666,0.762,0.00,89.03,113.99,0.00,0.00,96.00,0.00,57.18,86.88,75.52
O75955,FLOT1_HUMAN,Flotillin-1 ,Not predicted,0.87,,308.83,131.11,478.09,255.26,1.55,0.175,0.282,345.66,281.93,476.51,326.78,113.28,135.13,724.48,448.75,349.30,732.77
O43670,ZN207_HUMAN,Zinc finger protein 207 ,Not predicted,1.42,,93.60,86.72,144.44,96.46,1.54,0.597,0.690,139.17,179.46,0.00,149.39,0.00,0.00,128.90,219.93,245.18,128.17
P51610,HCFC1_HUMAN,Host cell factor 1 ,Not predicted,0.46,,68.56,68.55,105.64,67.66,1.54,0.459,0.569,0.00,94.29,159.81,0.00,88.69,167.07,149.34,78.80,0.00,132.98
Q15363,TMED2_HUMAN,Transmembrane emp24 domain-containing protein 2 ,Predicted,0.95,,70.81,61.62,109.03,63.08,1.54,0.295,0.422,142.94,112.70,15.44,82.99,0.00,156.70,133.20,0.00,112.14,143.09
Q9Y3B8,ORN_HUMAN,"Oligoribonuclease, mitochondrial ",Not predicted,0.94,,59.03,81.04,90.23,83.57,1.53,0.435,0.566,0.00,0.00,155.93,0.00,139.21,165.37,0.00,158.04,127.74,0.00
Q9H299,SH3L3_HUMAN,SH3 domain-binding glutamic acid-rich-like protein 3 ,Not predicted,1.30,,154.21,145.83,234.00,139.44,1.52,0.245,0.367,0.00,280.84,195.40,0.00,294.84,331.84,334.33,288.91,214.94,0.00
P08574,CY1_HUMAN,"Cytochrome c1, heme protein, mitochondrial ",Not predicted,0.77,,196.31,118.65,296.68,45.84,1.51,0.117,0.215,0.00,321.81,231.72,222.35,205.66,276.84,302.76,231.68,317.98,354.10
Q7L2H7,EIF3M_HUMAN,Eukaryotic translation initiation factor 3 subunit M ,Not predicted,1.25,,114.26,88.20,171.15,96.05,1.50,0.347,0.458,153.37,94.29,0.00,85.64,238.01,271.19,279.85,115.56,83.22,105.91
Q08945,SSRP1_HUMAN,FACT complex subunit SSRP1 ,Not predicted,0.52,,179.81,10.15,269.16,20.70,1.50,0.009,0.039,174.22,170.84,175.48,196.43,182.10,288.04,277.46,284.12,238.68,257.49
P12429,ANXA3_HUMAN,Annexin A3 ,Not predicted,1.65,,462.34,27.44,689.73,52.49,1.49,0.009,0.039,506.13,468.04,444.16,457.70,435.68,729.98,647.24,698.48,625.23,747.70
P24539,AT5F1_HUMAN,"ATP synthase F(0) complex subunit B1, mitochondrial ",Not predicted,1.01,,360.63,44.45,537.89,18.42,1.49,0.009,0.039,351.09,380.24,405.65,377.17,289.02,559.84,542.65,516.55,521.37,549.03
P61009,SPCS3_HUMAN,Signal peptidase complex subunit 3 ,Not predicted,0.68,,79.94,110.70,119.04,68.95,1.49,0.829,0.880,223.23,176.46,0.00,0.00,0.00,133.37,176.12,131.67,0.00,154.02
P55265,DSRAD_HUMAN,Double-stranded RNA-specific adenosine deaminase ,Not predicted,0.71,,146.52,59.37,218.05,18.23,1.49,0.117,0.215,104.11,134.83,103.07,142.77,247.83,214.77,229.25,189.76,218.60,237.88
Q7Z4V5,HDGR2_HUMAN,Hepatoma-derived growth factor-related protein 2 ,Not predicted,0.79,,213.33,129.16,317.17,68.23,1.49,0.175,0.282,244.30,309.10,196.04,0.00,317.19,294.35,273.72,265.08,433.35,319.36
Q13185,CBX3_HUMAN,Chromobox protein homolog 3 ,Not predicted,1.23,,216.77,121.36,322.21,47.85,1.49,0.076,0.155,271.58,270.54,280.28,0.00,261.46,391.45,259.91,336.61,316.53,306.54
O96008,TOM40_HUMAN,Mitochondrial import receptor subunit TOM40 homolog ,Not predicted,1.02,,71.50,98.17,105.82,98.16,1.48,0.738,0.804,188.97,0.00,168.54,0.00,0.00,0.00,163.15,204.75,0.00,161.21
P49591,SYSC_HUMAN,"Serine--tRNA ligase, cytoplasmic ",Not predicted,0.71,,207.76,38.07,307.33,47.74,1.48,0.009,0.039,241.31,210.13,241.68,149.64,196.03,274.16,352.94,310.61,353.34,245.61
Q9BRK5,CAB45_HUMAN,45 kDa calcium-binding protein ,Predicted,0.88,,54.25,75.34,80.21,74.68,1.48,0.738,0.804,0.00,117.81,0.00,153.43,0.00,142.48,148.63,0.00,0.00,109.92
O00154,BACH_HUMAN,Cytosolic acyl coenzyme A thioester hydrolase ,Not predicted,0.60,,298.01,55.01,439.35,26.70,1.47,0.009,0.039,299.31,333.13,220.80,363.55,273.27,470.59,457.17,442.47,422.86,403.63
Q99873,ANM1_HUMAN,Protein arginine N-methyltransferase 1 ,Not predicted,0.95,,373.65,11.75,549.48,32.94,1.47,0.009,0.039,360.41,382.36,384.31,361.40,379.77,602.10,556.61,524.07,544.29,520.33
Q13283,G3BP1_HUMAN,Ras GTPase-activating protein-binding protein 1 ,Not predicted,0.75,,561.47,256.54,825.63,301.24,1.47,0.175,0.282,539.84,322.25,799.96,300.23,845.07,"1,061.49",490.93,"1,050.51","1,024.17",501.06
P84090,ERH_HUMAN,Enhancer of rudimentary homolog ,Not predicted,1.39,,254.36,182.28,371.28,104.20,1.46,0.076,0.155,245.86,271.92,0.00,239.63,514.37,548.15,322.63,378.84,287.49,319.30
P46776,RL27A_HUMAN,60S ribosomal protein L27a ,Not predicted,1.13,,309.71,81.30,450.65,89.92,1.46,0.047,0.118,230.33,302.46,298.10,271.86,445.80,524.27,534.27,441.35,309.97,443.39
P83916,CBX1_HUMAN,Chromobox protein homolog 1 ,Not predicted,0.71,,143.11,131.66,206.67,134.63,1.44,0.751,0.804,264.04,232.63,0.00,218.88,0.00,377.12,219.81,0.00,230.34,206.06
O75396,SC22B_HUMAN,Vesicle-trafficking protein SEC22b ,Predicted,1.06,,412.32,9.74,594.69,26.04,1.44,0.009,0.039,423.95,415.52,416.57,398.67,406.91,619.66,607.84,558.03,610.84,577.06
Q9NR45,SIAS_HUMAN,Sialic acid synthase ,Not predicted,0.82,,583.37,274.09,839.62,240.90,1.44,0.175,0.282,734.46,688.03,255.43,899.25,339.66,566.97,972.55,587.83,"1,028.59","1,042.16"
P09496,CLCA_HUMAN,Clathrin light chain A ,Not predicted,0.83,,170.09,157.09,244.78,34.41,1.44,0.917,0.919,320.38,275.87,0.00,0.00,254.19,247.26,225.17,219.62,303.46,228.38
O60684,IMA7_HUMAN,Importin subunit alpha-7 ,Not predicted,0.66,,44.06,60.69,63.34,57.89,1.44,0.577,0.690,0.00,0.00,100.87,119.44,0.00,0.00,109.17,101.19,0.00,106.32
Q14696,MESD_HUMAN,LDLR chaperone MESD ,Predicted,1.26,,50.39,69.43,72.43,45.62,1.44,0.829,0.880,0.00,115.04,136.92,0.00,0.00,108.51,69.98,114.38,0.00,69.27
Q8NBJ5,GT251_HUMAN,Procollagen galactosyltransferase 1 ,Predicted,0.93,,108.90,19.71,155.97,14.76,1.43,0.009,0.039,76.93,105.98,117.92,114.52,129.15,161.04,136.30,146.29,174.02,162.23
P27797,CALR_HUMAN,Calreticulin ,Predicted,0.99,,"2,936.43",507.36,"4,201.54",513.59,1.43,0.009,0.039,"3,443.30","2,879.94","3,113.05","2,102.45","3,143.43","3,992.40","4,861.34","4,574.61","3,568.80","4,010.55"
P99999,CYC_HUMAN,Cytochrome c ,Not predicted,1.22,,357.80,77.15,511.58,34.63,1.43,0.009,0.039,260.83,412.60,292.57,437.77,385.22,514.83,564.71,490.86,514.92,472.57
P54727,RD23B_HUMAN,UV excision repair protein RAD23 homolog B ,Not predicted,1.16,,155.41,41.41,221.45,17.57,1.42,0.028,0.082,115.89,151.41,214.77,118.93,176.04,216.20,205.08,205.87,238.43,241.68
P62263,RS14_HUMAN,40S ribosomal protein S14 ,Not predicted,0.85,,402.08,101.46,571.77,66.09,1.42,0.009,0.039,412.97,355.70,491.58,253.76,496.38,671.80,520.81,600.64,510.50,555.07
O43592,XPOT_HUMAN,Exportin-T ,Not predicted,1.76,,40.39,38.10,57.13,52.84,1.41,0.332,0.458,77.05,0.00,73.05,51.86,0.00,105.38,0.00,98.33,81.96,0.00
P62070,RRAS2_HUMAN,Ras-related protein R-Ras2 ,Not predicted,1.12,,145.98,31.36,206.31,39.03,1.41,0.047,0.118,135.74,174.49,117.18,183.89,118.61,158.24,247.51,175.27,211.08,239.44
P27695,APEX1_HUMAN,DNA-(apurinic or apyrimidinic site) lyase ,Not predicted,1.12,,545.18,58.46,770.33,43.29,1.41,0.009,0.039,477.74,546.26,623.61,501.08,577.19,772.79,838.65,771.25,745.71,723.27
P62266,RS23_HUMAN,40S ribosomal protein S23 ,Not predicted,0.94,,128.89,44.26,182.10,39.99,1.41,0.175,0.282,149.27,162.00,68.30,168.69,96.20,142.87,211.56,145.48,177.24,233.33
P29966,MARCS_HUMAN,Myristoylated alanine-rich C-kinase substrate ,Not predicted,1.50,,235.27,22.27,331.77,46.19,1.41,0.009,0.039,271.14,221.38,222.90,218.13,242.80,409.89,324.54,310.24,288.43,325.74
Q15029,U5S1_HUMAN,116 kDa U5 small nuclear ribonucleoprotein component ,Not predicted,0.56,,517.72,278.64,729.85,201.10,1.41,0.175,0.282,346.88,746.46,229.21,877.18,388.85,427.51,812.57,626.95,912.41,869.82
Q9Y5B9,SP16H_HUMAN,FACT complex subunit SPT16 ,Not predicted,0.61,,152.45,32.60,214.58,20.27,1.41,0.016,0.057,194.73,171.93,119.29,121.20,155.08,212.02,241.66,227.14,190.69,201.38
P31942,HNRH3_HUMAN,Heterogeneous nuclear ribonucleoprotein H3 ,Not predicted,1.90,,392.87,78.04,552.40,110.38,1.41,0.047,0.118,515.55,400.47,377.41,300.67,370.26,727.24,445.26,500.38,588.49,500.66
P62269,RS18_HUMAN,40S ribosomal protein S18 ,Not predicted,1.47,,360.86,218.05,507.17,56.04,1.41,0.251,0.367,440.92,503.97,257.12,570.76,31.51,506.98,478.73,463.12,603.39,483.63
P38159,RBMX_HUMAN,"RNA-binding motif protein, X chromosome ",Not predicted,0.97,,901.70,65.80,"1,266.87",99.53,1.40,0.009,0.039,885.72,969.23,802.70,897.36,953.51,"1,262.38","1,433.45","1,167.44","1,237.59","1,233.49"
P35637,FUS_HUMAN,RNA-binding protein FUS ,Not predicted,1.37,,773.40,132.60,"1,082.81",15.89,1.40,0.009,0.039,542.50,842.14,872.60,789.52,820.24,"1,060.40","1,088.13","1,103.38","1,086.05","1,076.08"
P36776,LONM_HUMAN,"Lon protease homolog, mitochondrial ",Not predicted,1.00,,115.73,5.65,161.89,28.03,1.40,0.009,0.039,117.99,110.58,110.97,114.83,124.25,142.81,210.79,144.92,158.42,152.52
P17844,DDX5_HUMAN,Probable ATP-dependent RNA helicase DDX5 ,Not predicted,1.31,,764.84,97.85,"1,069.92",86.20,1.40,0.009,0.039,881.84,764.72,611.74,798.98,766.93,"1,053.81","1,131.12","1,024.39","1,178.87",961.42
Q9BUJ2,HNRL1_HUMAN,Heterogeneous nuclear ribonucleoprotein U-like protein 1 ,Not predicted,0.42,,507.10,121.27,707.97,126.75,1.40,0.047,0.118,436.26,328.53,614.02,591.32,565.38,753.03,815.39,766.89,490.74,713.77
P06753,TPM3_HUMAN,Tropomyosin alpha-3 chain ,Not predicted,0.47,,"1,088.02",609.99,"1,517.84",129.30,1.40,0.016,0.057,0.00,"1,326.39","1,317.13","1,361.49","1,435.11","1,541.74","1,732.27","1,445.46","1,460.48","1,409.22"
P00505,AATM_HUMAN,"Aspartate aminotransferase, mitochondrial ",Not predicted,0.63,,784.02,88.29,"1,093.37",141.66,1.39,0.016,0.057,938.29,744.27,776.66,732.14,728.76,"1,306.28","1,058.53",923.01,"1,041.22","1,137.83"
O75821,EIF3G_HUMAN,Eukaryotic translation initiation factor 3 subunit G ,Not predicted,0.65,,157.18,92.53,219.07,9.67,1.39,0.117,0.215,197.73,181.21,242.41,0.00,164.53,220.59,224.32,208.80,231.61,210.06
Q02978,M2OM_HUMAN,Mitochondrial 2-oxoglutarate/malate carrier protein ,Not predicted,0.72,,115.30,26.74,160.31,18.56,1.39,0.016,0.057,125.76,125.48,105.12,74.79,145.33,189.47,140.10,155.49,164.86,151.64
P51608,MECP2_HUMAN,Methyl-CpG-binding protein 2 ,Not predicted,0.77,,78.55,24.89,109.00,31.06,1.39,0.175,0.282,36.94,79.90,96.40,99.13,80.39,92.87,107.40,74.95,158.30,111.48
Q07666,KHDR1_HUMAN,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 ",Not predicted,0.90,,"1,047.50",110.61,"1,448.51",129.03,1.38,0.009,0.039,"1,027.45",933.44,963.06,"1,109.24","1,204.30","1,576.87","1,427.11","1,507.66","1,492.68","1,238.24"
Q15435,PP1R7_HUMAN,Protein phosphatase 1 regulatory subunit 7 ,Not predicted,0.72,,52.32,47.76,72.34,11.99,1.38,0.600,0.690,0.00,87.43,0.00,86.27,87.90,85.46,74.70,81.73,60.33,59.50
Q96QK1,VPS35_HUMAN,Vacuolar protein sorting-associated protein 35 ,Not predicted,0.77,,234.16,14.67,323.29,30.96,1.38,0.009,0.039,208.15,240.23,239.26,243.98,239.16,323.66,343.70,300.97,362.25,285.85
P22307,NLTP_HUMAN,Non-specific lipid-transfer protein ,Not predicted,0.77,,42.48,58.26,58.65,54.78,1.38,0.738,0.804,0.00,101.82,110.61,0.00,0.00,116.63,0.00,0.00,87.45,89.15
P21589,5NTD_HUMAN,5'-nucleotidase ,Predicted,0.47,,284.42,42.82,390.57,27.35,1.37,0.009,0.039,270.92,271.49,309.57,228.72,341.42,416.80,348.99,407.64,401.58,377.85
Q15758,AAAT_HUMAN,Neutral amino acid transporter B(0) ,Not predicted,0.79,,126.76,27.43,173.99,11.07,1.37,0.009,0.039,138.06,139.58,159.72,96.86,99.59,188.48,167.80,182.11,161.27,170.30
P30466,1B18_HUMAN,"HLA class I histocompatibility antigen, B-18 alpha chain ",Predicted,1.56,,"1,102.39",91.05,"1,509.71",193.92,1.37,0.009,0.039,976.21,"1,113.85","1,142.15","1,219.60","1,060.13","1,633.40","1,415.84","1,706.69","1,220.54","1,572.06"
Q9BTT0,AN32E_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member E ,Not predicted,1.02,,225.68,57.04,308.87,64.42,1.37,0.117,0.215,186.97,220.58,319.48,173.86,227.53,381.35,302.34,316.21,206.79,337.68
P15880,RS2_HUMAN,40S ribosomal protein S2 ,Not predicted,0.94,,878.33,104.14,"1,201.24",447.55,1.37,0.076,0.155,"1,008.59",784.44,777.12,859.52,961.99,"1,981.38",871.07,"1,098.40","1,107.51",947.85
P09651,ROA1_HUMAN,Heterogeneous nuclear ribonucleoprotein A1 ,Not predicted,0.97,,"3,317.32",382.32,"4,534.71",155.25,1.37,0.009,0.039,"3,952.31","3,238.56","3,015.74","3,351.06","3,028.94","4,785.50","4,428.63","4,408.54","4,580.97","4,469.89"
Q96AE4,FUBP1_HUMAN,Far upstream element-binding protein 1 ,Not predicted,1.42,,415.31,35.66,566.02,44.19,1.36,0.009,0.039,406.32,380.75,464.63,386.31,438.53,639.97,533.92,554.68,569.73,531.80
Q92841,DDX17_HUMAN,Probable ATP-dependent RNA helicase DDX17 ,Predicted,1.02,,788.59,79.32,"1,073.65",84.11,1.36,0.009,0.039,881.84,764.72,669.30,798.98,828.11,"1,053.81","1,131.12","1,043.05","1,178.87",961.42
Q12905,ILF2_HUMAN,Interleukin enhancer-binding factor 2 ,Not predicted,0.68,,"1,006.76",19.99,"1,367.10",120.43,1.36,0.009,0.039,"1,019.68","1,024.74","1,010.12",973.66,"1,005.61","1,542.29","1,358.75","1,342.84","1,386.60","1,205.00"
P06576,ATPB_HUMAN,"ATP synthase subunit beta, mitochondrial ",Not predicted,0.66,,"1,754.97",180.85,"2,378.28",149.25,1.36,0.009,0.039,"1,707.79","1,681.36","2,070.49","1,609.32","1,705.90","2,638.36","2,277.74","2,281.40","2,347.00","2,346.89"
P34932,HSP74_HUMAN,Heat shock 70 kDa protein 4 ,Not predicted,0.66,,544.12,54.24,736.75,163.78,1.35,0.028,0.082,639.20,526.10,511.23,508.90,535.15,905.07,582.75,835.93,819.59,540.42
O60716,CTND1_HUMAN,Catenin delta-1 ,Not predicted,0.44,,270.03,105.02,365.45,280.42,1.35,0.754,0.804,161.57,216.05,284.58,248.33,439.62,205.77,252.30,257.68,245.75,865.75
Q13740,CD166_HUMAN,CD166 antigen ,Predicted,0.97,,181.61,36.11,245.49,48.04,1.35,0.047,0.118,215.91,163.83,168.12,138.04,222.14,241.50,266.82,313.23,186.33,219.56
P16070,CD44_HUMAN,CD44 antigen ,Predicted,0.96,,667.12,21.44,901.01,100.61,1.35,0.009,0.039,650.96,672.76,645.54,699.98,666.37,953.37,945.07,961.57,722.98,922.07
Q9ULC4,MCTS1_HUMAN,Malignant T-cell-amplified sequence 1 ,Not predicted,0.84,,187.12,22.30,251.54,11.32,1.34,0.009,0.039,178.99,187.71,199.19,155.13,214.57,254.29,257.73,245.55,235.46,264.68
P43490,NAMPT_HUMAN,Nicotinamide phosphoribosyltransferase ,Not predicted,2.70,,840.35,99.08,"1,127.68",71.98,1.34,0.009,0.039,837.04,817.31,913.72,689.89,943.82,"1,131.75","1,060.64","1,234.62","1,062.05","1,149.36"
P38919,IF4A3_HUMAN,Eukaryotic initiation factor 4A-III ,Not predicted,1.16,,"1,202.49",187.75,"1,613.06",45.02,1.34,0.009,0.039,883.95,"1,358.53","1,220.27","1,321.76","1,227.93","1,570.29","1,592.73","1,593.49","1,686.53","1,622.27"
P11279,LAMP1_HUMAN,Lysosome-associated membrane glycoprotein 1 ,Predicted,0.52,,997.39,189.03,"1,337.14",112.61,1.34,0.016,0.057,911.89,"1,083.90",733.72,"1,238.52","1,018.93","1,403.43","1,152.26","1,327.91","1,356.93","1,445.18"
P19367,HXK1_HUMAN,Hexokinase-1 ,Not predicted,0.48,,309.35,20.74,414.55,55.35,1.34,0.009,0.039,335.24,300.19,312.13,319.21,279.99,350.72,466.61,401.55,476.91,376.97
Q9NZL9,MAT2B_HUMAN,Methionine adenosyltransferase 2 subunit beta ,Not predicted,0.91,,114.69,66.34,153.44,14.06,1.34,0.347,0.458,151.59,0.00,114.85,159.61,147.39,160.71,135.66,150.83,172.82,147.16
P17987,TCPA_HUMAN,T-complex protein 1 subunit alpha ,Not predicted,0.76,,309.56,15.87,412.93,25.03,1.33,0.009,0.039,292.99,305.60,334.28,314.42,300.53,439.97,431.80,404.78,411.94,376.15
O43776,SYNC_HUMAN,"Asparagine--tRNA ligase, cytoplasmic ",Not predicted,1.33,,318.61,23.22,424.76,22.53,1.33,0.009,0.039,341.89,320.13,291.98,298.28,340.76,459.29,418.06,407.58,434.29,404.58
Q13765,NACA_HUMAN,Nascent polypeptide-associated complex subunit alpha ,Not predicted,1.41,,682.13,41.33,909.16,40.37,1.33,0.009,0.039,677.57,632.15,658.79,701.87,740.27,963.25,921.81,918.03,887.15,855.57
P32119,PRDX2_HUMAN,Peroxiredoxin-2 ,Not predicted,0.56,,"1,763.14",202.67,"2,349.69",153.89,1.33,0.009,0.039,"1,421.68","1,752.94","1,834.75","1,943.54","1,862.80","2,455.59","2,145.95","2,436.27","2,486.54","2,224.09"
Q00059,TFAM_HUMAN,"Transcription factor A, mitochondrial ",Predicted,1.02,,157.06,23.94,208.81,19.48,1.33,0.028,0.082,182.53,181.94,149.48,140.82,130.55,203.24,224.39,178.76,227.19,210.47
P08727,K1C19_HUMAN,"Keratin, type I cytoskeletal 19 ",Not predicted,1.68,,"1,215.87",215.30,"1,616.02",110.02,1.33,0.009,0.039,"1,197.67","1,328.58",866.21,"1,437.16","1,249.74","1,479.17","1,638.54","1,695.50","1,738.94","1,527.96"
P18754,RCC1_HUMAN,Regulator of chromosome condensation ,Not predicted,0.96,,207.46,30.66,275.65,35.73,1.33,0.016,0.057,168.34,249.79,222.90,194.54,201.73,296.71,328.76,251.40,248.78,252.60
Q99714,HCD2_HUMAN,3-hydroxyacyl-CoA dehydrogenase type-2 ,Not predicted,0.79,,266.89,34.71,354.03,30.32,1.33,0.009,0.039,215.69,264.69,290.75,257.29,306.04,399.29,366.61,328.09,326.07,350.10
P30443,1A01_HUMAN,"HLA class I histocompatibility antigen, A-1 alpha chain ",Predicted,0.88,,"1,290.31",70.49,"1,711.10",164.47,1.33,0.009,0.039,"1,345.16","1,181.04","1,270.07","1,357.07","1,298.20","1,761.84","1,662.50","1,880.22","1,452.27","1,798.67"
Q12792,TWF1_HUMAN,Twinfilin-1 ,Not predicted,1.31,,50.35,71.68,66.76,62.35,1.33,0.738,0.804,0.00,0.00,0.00,98.12,153.63,132.28,0.00,96.78,104.75,0.00
P62851,RS25_HUMAN,40S ribosomal protein S25 ,Not predicted,1.35,,473.06,65.52,626.81,84.22,1.33,0.016,0.057,408.76,480.31,428.67,577.95,469.61,585.63,645.34,606.05,760.23,536.82
P36542,ATPG_HUMAN,"ATP synthase subunit gamma, mitochondrial ",Not predicted,0.79,,414.27,48.81,548.67,42.71,1.32,0.009,0.039,413.64,454.96,332.96,449.25,420.54,507.69,555.48,522.95,618.10,539.13
O95218,ZRAB2_HUMAN,Zinc finger Ran-binding domain-containing protein 2 ,Not predicted,1.32,,130.77,25.66,173.14,19.71,1.32,0.028,0.082,119.88,141.77,162.64,93.96,135.58,172.23,147.64,187.34,196.94,161.55
O75390,CISY_HUMAN,"Citrate synthase, mitochondrial ",Not predicted,0.62,,767.07,44.61,"1,015.30",45.27,1.32,0.009,0.039,770.28,766.91,779.86,821.05,697.26,"1,045.58",997.92,"1,046.78","1,043.11",943.10
O15118,NPC1_HUMAN,Niemann-Pick C1 protein ,Predicted,0.65,,48.52,45.05,64.22,36.63,1.32,0.597,0.690,94.05,0.00,71.91,0.00,76.63,91.28,70.83,79.49,79.50,0.00
P08195,4F2_HUMAN,4F2 cell-surface antigen heavy chain ,Not predicted,1.74,,332.54,33.79,439.65,36.89,1.32,0.009,0.039,338.45,319.04,292.98,385.05,327.19,409.12,495.44,412.80,422.04,458.86
P55884,EIF3B_HUMAN,Eukaryotic translation initiation factor 3 subunit B ,Not predicted,0.59,,200.61,51.27,265.16,38.84,1.32,0.076,0.155,256.06,193.41,188.14,125.30,240.13,291.11,317.49,250.59,219.55,247.04
O75131,CPNE3_HUMAN,Copine-3 ,Not predicted,0.50,,112.50,63.55,148.60,20.85,1.32,0.347,0.458,148.93,150.61,0.00,131.73,131.21,167.90,135.17,174.40,129.76,135.77
P07919,QCR6_HUMAN,"Cytochrome b-c1 complex subunit 6, mitochondrial ",Not predicted,0.95,,258.35,150.95,340.77,54.28,1.32,0.465,0.569,376.38,344.45,0.00,257.29,313.62,304.40,416.93,330.95,280.41,371.13
P11310,ACADM_HUMAN,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial ",Not predicted,0.88,,188.54,38.95,248.58,242.11,1.32,0.347,0.458,124.98,192.90,202.53,231.06,191.25,679.49,168.58,157.36,105.83,131.63
Q13310,PABP4_HUMAN,Polyadenylate-binding protein 4 ,Not predicted,1.12,,470.29,95.58,619.21,130.99,1.32,0.076,0.155,513.22,476.87,525.85,303.64,531.88,764.56,558.79,700.96,427.98,643.75
O94906,PRP6_HUMAN,Pre-mRNA-processing factor 6 ,Not predicted,0.73,,45.32,32.80,59.59,33.57,1.31,0.295,0.422,21.56,66.36,0.00,75.99,62.70,0.00,81.40,71.40,71.35,73.82
P60842,IF4A1_HUMAN,Eukaryotic initiation factor 4A-I ,Not predicted,2.50,,"1,920.19",97.39,"2,518.90",90.48,1.31,0.009,0.039,"1,764.35","2,017.34","1,894.60","1,964.35","1,960.33","2,635.62","2,574.44","2,476.70","2,400.04","2,507.70"
P43304,GPDM_HUMAN,"Glycerol-3-phosphate dehydrogenase, mitochondrial ",Not predicted,0.54,,82.92,50.18,108.62,27.16,1.31,0.465,0.569,76.97,104.08,0.00,102.28,131.27,121.63,69.25,139.20,118.52,94.51
O00303,EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F ,Not predicted,0.54,,204.06,10.93,267.24,18.75,1.31,0.009,0.039,210.48,196.69,195.81,197.00,220.32,263.34,284.65,259.80,286.73,241.68
P62333,PRS10_HUMAN,26S protease regulatory subunit 10B ,Not predicted,1.20,,238.59,18.65,312.42,25.75,1.31,0.009,0.039,224.78,214.22,259.68,244.30,249.95,345.51,318.47,305.02,274.61,318.48
P14678,RSMB_HUMAN,Small nuclear ribonucleoprotein-associated proteins B and B' ,Not predicted,1.12,,360.30,75.83,471.76,68.21,1.31,0.047,0.118,377.04,399.31,272.47,456.88,295.81,522.57,509.39,352.97,482.60,491.29
Q6P2Q9,PRP8_HUMAN,Pre-mRNA-processing-splicing factor 8 ,Not predicted,0.50,,38.94,39.95,50.97,46.59,1.31,0.590,0.690,0.00,36.67,87.26,0.00,70.76,88.04,0.00,81.17,85.62,0.00
O43583,DENR_HUMAN,Density-regulated protein ,Not predicted,1.07,,177.73,64.44,232.31,54.07,1.31,0.251,0.367,81.25,160.39,243.05,174.05,229.90,206.10,153.63,275.35,286.16,240.32
P11586,C1TC_HUMAN,"C-1-tetrahydrofolate synthase, cytoplasmic ",Not predicted,0.63,,268.13,35.08,350.21,10.18,1.31,0.009,0.039,324.48,257.83,228.57,270.15,259.64,352.53,362.24,356.39,337.18,342.70
Q9Y376,CAB39_HUMAN,Calcium-binding protein 39 ,Not predicted,0.86,,27.81,16.16,36.31,20.81,1.31,0.094,0.190,38.24,0.00,30.60,40.05,30.16,0.00,40.66,43.77,44.10,53.00
P62241,RS8_HUMAN,40S ribosomal protein S8 ,Not predicted,1.14,,194.87,37.99,254.00,24.80,1.30,0.028,0.082,185.64,239.06,156.20,163.33,230.14,275.75,266.89,267.01,214.12,246.22
Q9Y2W1,TR150_HUMAN,Thyroid hormone receptor-associated protein 3 ,Not predicted,0.76,,274.11,108.65,357.24,75.98,1.30,0.047,0.118,116.88,423.92,276.22,280.94,272.60,293.20,440.40,331.14,285.34,436.13
Q9UN86,G3BP2_HUMAN,Ras GTPase-activating protein-binding protein 2 ,Not predicted,0.58,,164.23,28.23,213.98,38.95,1.30,0.076,0.155,170.89,178.43,197.82,149.90,124.13,229.75,235.74,216.38,146.36,241.68
P50914,RL14_HUMAN,60S ribosomal protein L14 ,Not predicted,1.20,,172.10,32.66,223.68,56.56,1.30,0.175,0.282,207.71,167.11,125.09,162.57,198.03,200.00,193.17,203.76,324.61,196.83
P17980,PRS6A_HUMAN,26S protease regulatory subunit 6A ,Not predicted,0.65,,160.02,13.80,207.96,30.35,1.30,0.016,0.057,158.25,177.49,168.81,141.57,153.99,236.50,196.20,241.76,195.11,170.23
P43243,MATR3_HUMAN,Matrin-3 ,Not predicted,0.84,,736.55,90.79,955.63,113.84,1.30,0.028,0.082,865.87,718.71,676.15,636.92,785.10,"1,072.47","1,049.37",982.72,822.11,851.50
